campo,descricao,tipo,origem_prevista,obrigatorio,uso_no_ev_chargeops
session_id,Identificador unico da sessao de recarga,texto,Sense Plus ou gerado no importador,sim,Evitar duplicidade e rastrear faturamento
charger_id,Identificador do carregador,texto,Sense Plus ou cadastro interno,sim,Vincular sessao ao equipamento GW7K HC20/HCA G2
charger_model,Modelo do carregador,texto,Cadastro interno,sim,Auditoria tecnica e filtros
rfid_masked,Identificador RFID mascarado,texto,Sense Plus ou conciliacao manual,nao,Associar sessao a usuario/unidade sem expor codigo real
user_id,Identificador interno do usuario,texto,EV ChargeOps,nao,Calcular consumo individual
unit_id,Identificador da unidade ou centro de custo,texto,EV ChargeOps,nao,Gerar rateio por unidade
start_at,Data e hora de inicio,datetime,Sense Plus,sim,Calcular duracao e horario de pico
end_at,Data e hora de fim,datetime,Sense Plus,sim,Calcular duracao e fechamento mensal
duration_min,Duracao da sessao em minutos,numero,Sense Plus ou calculado,sim,Auditar tempo conectado e ociosidade
energy_kwh,Energia entregue na sessao em kWh,numero,Sense Plus,sim,Base do custo variavel
avg_power_kw,Potencia media da sessao em kW,numero,Calculado ou Sense Plus,nao,Detectar anomalias e perfil de uso
max_power_kw,Potencia maxima observada em kW,numero,Sense Plus quando disponivel,nao,Apoiar analise de demanda
current_a,Corrente registrada ou media em amperes,numero,Sense Plus ou Modbus futuro,nao,Apoiar controle de demanda
operation_mode,Modo de operacao,texto,Sense Plus,nao,Diferenciar carga rapida solar bateria ou combinada
session_status,Status da sessao,texto,Sense Plus,sim,Separar concluida interrompida falha ou revisao
source_file,Arquivo de origem,texto,EV ChargeOps,sim,Auditoria da importacao
imported_at,Data e hora da importacao,datetime,EV ChargeOps,sim,Rastrear processamento
review_flag,Indicador de revisao,texto,EV ChargeOps,sim,Evitar faturamento automatico de caso suspeito
review_reason,Motivo da revisao,texto,EV ChargeOps,nao,Explicar anomalia ou excecao
